epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.419,1.08062,3.01199,1.21221,0.58365,0.41825,0.44022,0.32602,1.0152,1.92978,1.16624,0.003328,0.003328,0.003328
2,204.164,1.07599,1.99278,1.19413,0.5595,0.4488,0.46217,0.32977,1.11752,1.8522,1.22014,0.00659539,0.00659539,0.00659539
3,292.782,1.12751,1.91143,1.22486,0.48406,0.40607,0.40821,0.27513,1.22253,2.03748,1.3094,0.00979677,0.00979677,0.00979677
4,381.221,1.18045,1.88294,1.25675,0.60553,0.48612,0.52754,0.36482,1.1467,1.66158,1.23997,0.009703,0.009703,0.009703
5,468.74,1.12768,1.66942,1.22303,0.63663,0.52698,0.57982,0.41265,1.0817,1.50085,1.19799,0.009604,0.009604,0.009604
6,556.015,1.08067,1.49578,1.19076,0.68852,0.53405,0.60725,0.43449,1.05267,1.49381,1.19304,0.009505,0.009505,0.009505
7,643.979,1.04642,1.37823,1.17092,0.74565,0.65634,0.73359,0.54092,0.97416,1.16195,1.11668,0.009406,0.009406,0.009406
8,732.171,1.0189,1.29054,1.15118,0.76447,0.62621,0.72224,0.5342,0.95177,1.20242,1.10243,0.009307,0.009307,0.009307
9,820.366,0.99626,1.20399,1.1354,0.82385,0.68465,0.77817,0.58866,0.90833,0.98066,1.07574,0.009208,0.009208,0.009208
10,908.357,0.96991,1.13781,1.11869,0.79149,0.71795,0.7897,0.60756,0.90183,0.9534,1.07196,0.009109,0.009109,0.009109
11,996.764,0.96292,1.09874,1.11384,0.8659,0.72111,0.82752,0.63472,0.8915,0.90184,1.05784,0.00901,0.00901,0.00901
12,1085.02,0.94464,1.05271,1.10321,0.8563,0.73406,0.83126,0.63957,0.87661,0.849,1.04691,0.008911,0.008911,0.008911
13,1173.44,0.9289,1.01619,1.09015,0.87292,0.76186,0.85333,0.66597,0.84618,0.8026,1.03121,0.008812,0.008812,0.008812
14,1262.02,0.91437,0.97945,1.08219,0.88896,0.74666,0.85161,0.66308,0.8491,0.79375,1.02887,0.008713,0.008713,0.008713
15,1350.62,0.90282,0.94885,1.07499,0.88139,0.7762,0.86545,0.67961,0.82949,0.75108,1.02183,0.008614,0.008614,0.008614
16,1436.01,0.89248,0.91892,1.06913,0.87196,0.78402,0.8703,0.6905,0.80624,0.74073,1.0067,0.008515,0.008515,0.008515
17,1519.84,0.88454,0.89944,1.06328,0.87572,0.79616,0.87744,0.69545,0.8018,0.71212,1.00118,0.008416,0.008416,0.008416
18,1603.47,0.87702,0.87544,1.05573,0.90836,0.79917,0.89546,0.71296,0.78863,0.67804,0.98706,0.008317,0.008317,0.008317
19,1687.49,0.8718,0.86662,1.05274,0.89895,0.81259,0.89658,0.72225,0.77889,0.68425,0.98789,0.008218,0.008218,0.008218
20,1771.52,0.85316,0.83339,1.04438,0.89986,0.81981,0.90046,0.72011,0.77743,0.6569,0.98579,0.008119,0.008119,0.008119
21,1858.25,0.85534,0.82712,1.04322,0.92021,0.81655,0.90648,0.73342,0.76812,0.63369,0.97877,0.00802,0.00802,0.00802
22,1946.59,0.84243,0.80551,1.03655,0.91215,0.82017,0.90737,0.733,0.76203,0.62869,0.97718,0.007921,0.007921,0.007921
23,2034.88,0.84044,0.79757,1.03336,0.90543,0.84843,0.91446,0.7435,0.75016,0.61132,0.96559,0.007822,0.007822,0.007822
24,2123.24,0.83095,0.78793,1.03333,0.91066,0.84231,0.91667,0.74548,0.74359,0.59574,0.96267,0.007723,0.007723,0.007723
25,2210.62,0.82574,0.76595,1.02711,0.91842,0.84477,0.91969,0.7486,0.74526,0.59345,0.9664,0.007624,0.007624,0.007624
26,2294.92,0.81786,0.75862,1.02171,0.90897,0.86276,0.924,0.75669,0.7271,0.57069,0.95515,0.007525,0.007525,0.007525
27,2379,0.81606,0.74995,1.0231,0.92682,0.86207,0.93016,0.76276,0.72783,0.56085,0.95755,0.007426,0.007426,0.007426
28,2463.56,0.81258,0.73766,1.01696,0.92339,0.85351,0.92986,0.76019,0.73839,0.56385,0.9591,0.007327,0.007327,0.007327
29,2547.47,0.80266,0.72518,1.01327,0.9319,0.86065,0.93361,0.7723,0.71606,0.55077,0.95002,0.007228,0.007228,0.007228
30,2631.73,0.79901,0.71193,1.01105,0.92751,0.86123,0.93578,0.77269,0.7131,0.54818,0.94803,0.007129,0.007129,0.007129
31,2716.01,0.7954,0.71242,1.01008,0.92626,0.8652,0.93622,0.77256,0.71443,0.5441,0.94532,0.00703,0.00703,0.00703
32,2802,0.78992,0.7015,1.00593,0.92417,0.87186,0.94023,0.77892,0.70754,0.52768,0.93852,0.006931,0.006931,0.006931
33,2890.26,0.78394,0.69254,1.0047,0.92822,0.88131,0.94104,0.77816,0.70321,0.51613,0.93943,0.006832,0.006832,0.006832
34,2978.37,0.78595,0.68854,1.00477,0.92791,0.88073,0.94549,0.78477,0.69332,0.5095,0.93253,0.006733,0.006733,0.006733
35,3066.27,0.78142,0.68381,0.99976,0.92946,0.87997,0.94445,0.7868,0.69444,0.5106,0.93456,0.006634,0.006634,0.006634
36,3154.15,0.77452,0.67142,0.99669,0.93175,0.89038,0.94735,0.79179,0.68852,0.50137,0.93638,0.006535,0.006535,0.006535
37,3242.53,0.77097,0.66368,0.99629,0.94279,0.8834,0.94887,0.7933,0.68318,0.48997,0.92896,0.006436,0.006436,0.006436
38,3330.46,0.76882,0.66054,0.99543,0.92725,0.89152,0.94737,0.79212,0.6822,0.4967,0.92862,0.006337,0.006337,0.006337
39,3418.32,0.76324,0.652,0.99109,0.93611,0.89559,0.95346,0.80011,0.67727,0.48019,0.9251,0.006238,0.006238,0.006238
40,3506.04,0.75854,0.64497,0.99046,0.93857,0.90222,0.95512,0.80373,0.66922,0.47186,0.91727,0.006139,0.006139,0.006139
41,3594.03,0.75619,0.64008,0.98783,0.92914,0.90717,0.95408,0.80321,0.67197,0.4725,0.92208,0.00604,0.00604,0.00604
42,3682.67,0.7556,0.6341,0.98687,0.94035,0.89998,0.95435,0.80069,0.66743,0.4712,0.91815,0.005941,0.005941,0.005941
43,3770.89,0.75294,0.63257,0.98836,0.93077,0.90351,0.95596,0.80542,0.66312,0.46099,0.91838,0.005842,0.005842,0.005842
44,3858.84,0.75256,0.62633,0.98591,0.93942,0.90137,0.95521,0.80769,0.6632,0.46442,0.91874,0.005743,0.005743,0.005743
45,3946.89,0.74438,0.61641,0.98472,0.94312,0.9064,0.95837,0.80872,0.65917,0.45735,0.91602,0.005644,0.005644,0.005644
46,4034.9,0.74283,0.61412,0.98139,0.94264,0.90769,0.95905,0.81254,0.65771,0.45222,0.91765,0.005545,0.005545,0.005545
47,4123.1,0.7376,0.6072,0.97751,0.9421,0.90908,0.95979,0.81432,0.64832,0.44593,0.91281,0.005446,0.005446,0.005446
48,4207.85,0.7323,0.60073,0.97537,0.94622,0.90931,0.95985,0.81438,0.64914,0.44113,0.91303,0.005347,0.005347,0.005347
49,4291.93,0.73258,0.59939,0.97416,0.94427,0.90389,0.96076,0.8135,0.64754,0.44475,0.91136,0.005248,0.005248,0.005248
50,4375.79,0.72622,0.59287,0.97347,0.94146,0.91497,0.96041,0.81799,0.64408,0.43798,0.90784,0.005149,0.005149,0.005149
51,4459.25,0.73272,0.59408,0.97278,0.94313,0.91016,0.96102,0.81734,0.64366,0.43871,0.90692,0.00505,0.00505,0.00505
52,4543.15,0.7213,0.5823,0.97158,0.94853,0.91171,0.96158,0.82123,0.63804,0.43194,0.9064,0.004951,0.004951,0.004951
53,4626.73,0.72166,0.58212,0.96906,0.94936,0.91462,0.96435,0.82484,0.63716,0.42773,0.90335,0.004852,0.004852,0.004852
54,4710.14,0.71622,0.57677,0.96881,0.94325,0.92167,0.96528,0.82347,0.63583,0.42675,0.90729,0.004753,0.004753,0.004753
55,4793.92,0.71555,0.57266,0.96895,0.94955,0.91697,0.96432,0.82287,0.63645,0.42716,0.9062,0.004654,0.004654,0.004654
56,4877.59,0.70961,0.56597,0.96427,0.95113,0.91391,0.9645,0.82262,0.63606,0.42682,0.90493,0.004555,0.004555,0.004555
57,4961.05,0.70916,0.56504,0.96366,0.94927,0.91857,0.96545,0.82601,0.62915,0.42328,0.89992,0.004456,0.004456,0.004456
